Codi_centre;Denominació_completa;Adreça;Telèfon;E-mail_centre;Nom_municipi;Nom_comarca;Codi_SSTT
8000013;Escola Francesc Platón i Sartí;c. Salvador Espriu, 3;937700381;a8000013@xtec.cat;Abrera;Baix Llobregat;CE01
8000049;Escola Fabra;av. del Bosquet, 1;935557803;a8000049@xtec.cat;Alella;Maresme;80193
8000086;Escola La Forja - ZER Alt Lluçanès;ctra. Lluçanesa, 8;938527007;a8000086@xtec.cat;Alpens;Osona;DE02
8000098;Escola Bertí;Antic camí de Caldes, s/n;938432778;a8000098@xtec.cat;L'Ametlla del Vallès;Vallès Oriental;80517
8000131;La Presentació;c. Pompeu Fabra, 2;937920241;a8000131@xtec.cat;Arenys de Mar;Bages;80543
8000153;Escola Joan Maragall;Rial de Sa Clavella, s/n;937922802;a8000153@xtec.cat;Arenys de Munt;Berguedà;80879
8000165;Escola Sant Martí;c. Generalitat, 2;937938070;a8000165@xtec.cat;Argentona;Alt Penedès;81206
8000189;Escola Bernat de Riudemeia;c. Bernat de Riudemeia, 27;937970956;a8000189@xtec.cat;Artés;Barcelonès;81252
8000220;Vedruna Artés;c. Carme, 16;938305212;a8000220@xtec.cat;Avià;Vallès Occident;81568
8000244;Escola Doctor Ferrer;c. Barcelona, 23;938305377;a8000244@xtec.cat;Avinyonet del Penedès;Anoia;81672
8000271;Escola Santa Maria d'Avià;c. Escoles, s/n;938230376;a8000271@xtec.cat;Aiguafreda;Moianès;81799
8000347;Escola d'Avinyonet del Penedès;pg. de la Grava, s/n;938970443;a8000347@xtec.cat;Badalona;Garraf;81803
8000359;Escola La Muntanya;c. Núria, s/n;938440179;a8000359@xtec.cat;Bagà;Selva;81846
8000384;Escola Lola Anglada;c. Riera de Canyadó, 53;934642540;a8000384@xtec.cat;Barcelona;Alt Empordà;81878
8000396;Escola Ventós i Mir;ptge. Ventós i Mir, 29-31;933895523;a8000396@xtec.cat;Sant Adrià de Besòs;Gironès;82055
8000402;Escola Feliu i Vegués;c. Sírius, 2A;933871241;a8000402@xtec.cat;Montcada i Reixac;Baix Empordà;82233
8000499;Sant Domènec Savio;c. Alfons XII, 111;933877254;a8000499@xtec.cat;Begues;Cerdanya;82384
8000517;Sant Andreu;c. Arnús, 16-18;933847710;a8000517@xtec.cat;Berga;Pla de l'Estany;82520
8000578;Nen Jesús de Praga;c. Barcelona, 44;933842413;a8000578@xtec.cat;Bigues i Riells del Fai;Ripollès;82606
8000608;Montserrat;c. Carles I, 9-13;933880045;a8000608@xtec.cat;Borredà;Garrotxa;82665
8000670;FEP Mare de Déu de la Salut;pg. de la  Salut, 36-38;933876243;a8000670@xtec.cat;El Bruc;Noguera;82671
8000700;Maristes Champagnat;c. Dos de Maig, 67;933895650;a8000700@xtec.cat;Cabrera d'Anoia;Urgell;82798
8000712;Llefià;c. Europa, 2 i 2 bis/c. Sèquia 1A i 1B;933883298;a8000712@xtec.cat;Cabrera de Mar;Segrià;82900
8000761;Badalonès;c. Arbres, 17;933895716;a8000761@xtec.cat;Cabrils;Alt Urgell;82917
8000827;Jesús Maria;c. Lepant, 3;933874696;a8000827@xtec.cat;Calaf;Garrigues;83008
8000864;Cultural;ptge. Pi i Gibert, 29-31;933875299;a8000864@xtec.cat;Caldes d'Estrac;Pallars Sobirà;89045
8000918;Arrels-Esperança;pl. Marquès de Barberà, 13;933840451;a8000918@xtec.cat;Caldes de Montbui;Aran;DE03
8000921;Garbí Pere Vergés;c. Provença, 7;933876199;a8000921@xtec.cat;Calders;Pla d'Urgell;80018
8000943;Betúlia;av. de les Palmeres, 5;933954311;a8000943@xtec.cat;Calella;Segarra;80207
8000967;López Torrejón;c. Conquesta, 57-65;933996807;a8000967@xtec.cat;Calldetenes;Pallars Jussà;80569
8000979;Ramiro de Maeztu;c. Roger de Flor, 115-117;934606253;a8000979@xtec.cat;Vic;Solsonès;80667
8000980;Cultural Fluvià;c. Ramiro de Maeztu, s/n;933880238;a8000980@xtec.cat;Callús;Alta Ribagorça;80689
8001030;Maria Ward;c. Fluvià, 64;934640731;a8001030@xtec.cat;Campins;Alt Camp;80692
8001066;Mare de Déu de l'Assumpció;c. Sant Frederic, s/n;933872898;a8001066@xtec.cat;Canet de Mar;Montsià;80728
8001108;Arrels-Blanquerna;c. Sant Joan Evangelista, 22;933871554;a8001108@xtec.cat;Canovelles;Baix Camp;80734
8001133;Lestonnac;av. Roma, 29-31;933951657;a8001133@xtec.cat;Cànoves i Samalús;Tarragonès;80765
8001145;Minguella;c. Santa Joana de Lestonnac, s/n;933871295;a8001145@xtec.cat;Canyelles;Baix Ebre;80771
8001157;Santíssima Trinitat;c. Sta.Madrona,75 i Sta.Maria,30 i 34-36;933892287;a8001157@xtec.cat;Capellades;Baix Penedès;80898
8001170;Laietània;c. Santiago, 57;933874854;a8001170@xtec.cat;Cardedeu;Terra Alta;81141
8001297;Escola Planas i Casals;c. Saragossa, 18 i 19;933881447;a8001297@xtec.cat;Cardona;Ribera d'Ebre;81234
8001391;Institut La Pineda;c. Muntaner, 2-18;933951406;a8001391@xtec.cat;Carme;Conca de Barber;81477
8001421;Institut Isaac Albéniz;c. de la Batlloria, s/n;933990511;a8001421@xtec.cat;Casserres;Priorat;81574
8001431;Institut Eugeni d'Ors;parc Serentill, s/n;933830511;a8001431@xtec.cat;Castellar del Vallès;;81580
8001443;EA Pau Gargallo;av. Maresme, 192-212;933875866;a8001443@xtec.cat;Castellbell i el Vilar;;81691
8001480;Escola Antoni Botey;av. Doctor Bassols, 77 A;933997652;a8001480@xtec.cat;Castellbisbal;;81960
8001509;Escola Galceran de Pinós;av. Reina Elisenda, 2;933872589;a8001509@xtec.cat;Castellcir;;82009
8001522;Escola Baixeras;c. Salvador Aulet, 1;938244116;a8001522@xtec.cat;Castelldefels;;82042
8001595;Escola Parc de la Ciutadella;pg. de Circumval.lació, 5;933105295;a8001595@xtec.cat;Castellet i la Gornal;;82080
8001601;Escola Mossèn Jacint Verdaguer;c. Lleida, 32;933195847;a8001601@xtec.cat;Castellfollit de Riubregós;;82114
8001649;Escola El Polvorí;camí del Polvorí, 8-10;934240201;a8001649@xtec.cat;Castellgalí;;82172
8001650;Escola Can Clos;c. Pedrera del Mussol, 10-14;933327496;a8001650@xtec.cat;Castellolí;;82212
8001674;Escola Dolors Monserdà-Santapau;av. Vallvidrera, 9;933326145;a8001674@xtec.cat;Castellví de la Marca;;82444
8001716;Escola Poeta Foix;c. Balmes, 298;932031278;a8001716@xtec.cat;Castellví de Rosanes;;82634
8001731;Escola Ramon Llull;av. Diagonal, 275;932018152;a8001731@xtec.cat;Centelles;;82896
8001777;Escola Cervantes;c. Sant Pere Més Baix, 31;932313457;a8001777@xtec.cat;Cervelló;;82956
8001789;Escola Pere Vila;pg. Lluís Companys, 18;932682050;a8001789@xtec.cat;La Palma de Cervelló;;83015
8001790;Escola de la Concepció;c. Bruc, 102;933099417;a8001790@xtec.cat;Copons;;89058
8001807;Escola Collaso i Gil;c. Sant Pau, 101;934576081;a8001807@xtec.cat;Corbera de Llobregat;;DE04
8001819;Escola Milà i Fontanals;c. Àngels, s/n;934410098;a8001819@xtec.cat;Cornellà de Llobregat;;80155
8001820;Escola Castella;pl. Castella, 8;934427038;a8001820@xtec.cat;Cubelles;;81017
8001832;Escola Drassanes;c. Nou de Sant Francesc, 9-13;933020835;a8001832@xtec.cat;Esparreguera;;81944
8001856;Escola Rubén Darío;rda. Sant Pau, 38;933189733;a8001856@xtec.cat;Esplugues de Llobregat;;82457
